Dataset name: Balance Sheet Items; Frequency: Monthly; Reference area: Euro area (changing composition); Adjustment indicator: Neither seasonally nor working day adjusted; Balance sheet item: Loans; Original maturity: Total; Data type: Outstanding amounts at the end of the period (stocks); Counterpart area: Euro area (changing composition); BS counterpart sector: Households and non-profit institutions serving households (S.14 and S.15); Currency of transaction: All currencies combined; Balance sheet suffix: Euro
,BSI.M.U2.N.A.A20.A.1.U2.2250.Z01.E,BSI.M.U2.N.U.A20.A.1.U2.2250.Z01.E;;;;;;;;;;
,MFIs excluding ESCB,Monetary and Financial Institutions (MFIs);;;;;;;;;;
Period\Unit:,[Millions of Euro],[Millions of Euro];;;;;;;;;;
1999Dec,2760806,2761321;;;;;;;;;;
1999Nov,2738648,2739038;;;;;;;;;;
1999Oct,2717450,2717720;;;;;;;;;;
1999Sep,2697035,2697181;;;;;;;;;;
1999Aug,2671699,2671844;;;;;;;;;;
1999Jul,2661298,2661443;;;;;;;;;;
1999Jun,2637567,2637711;;;;;;;;;;
1999May,2605183,2605330;;;;;;;;;;
1999Apr,2582337,2582488;;;;;;;;;;
1999Mar,2568396,2568550;;;;;;;;;;
1999Feb,2549798,2549948;;;;;;;;;;
1999Jan,2546400,2546549;;;;;;;;;;
1998Dec,2528559,2528704;;;;;;;;;;
1998Nov,2501106,2501250;;;;;;;;;;
1998Oct,2483863,2484006;;;;;;;;;;
1998Sep,2465214,2465355;;;;;;;;;;
1998Aug,2443777,2443919;;;;;;;;;;
1998Jul,2435329,2435472;;;;;;;;;;
1998Jun,2419344,2419488;;;;;;;;;;
1998May,2397513,2397653;;;;;;;;;;
1998Apr,2384936,2385072;;;;;;;;;;
1998Mar,2363026,2363159;;;;;;;;;;
1998Feb,2350350,2350486;;;;;;;;;;
1998Jan,2341719,2341857;;;;;;;;;;
1997Dec,2337206,2337347;;;;;;;;;;
1997Nov,2315489,2315627;;;;;;;;;;
1997Oct,2305790,2305925;;;;;;;;;;
1997Sep,2290038,2290170;;;;;;;;;;
